data,nome,aplicação,resgate,patrimônio,rentabilidade
2026-03-20,Shay Previdência Multimercado,53.2,46.8,42.1,1.02
2026-03-19,Shay Previdência Multimercado,52.8,47.1,41.9,1.01
2026-03-18,Shay Previdência Multimercado,53.0,46.9,42.0,0.98
2026-03-17,Shay Previdência Multimercado,53.4,46.6,42.2,1.03
2026-03-16,Shay Previdência Multimercado,52.9,47.0,42.1,1.00
2026-03-13,Shay Previdência Multimercado,53.1,46.8,42.0,0.97
2026-03-12,Shay Previdência Multimercado,53.3,46.7,42.2,1.04
2026-03-11,Shay Previdência Multimercado,52.7,47.2,41.8,0.95
2026-03-10,Shay Previdência Multimercado,53.5,46.5,42.3,-0.42
2026-03-09,Shay Previdência Multimercado,53.2,46.8,42.1,1.02

